Año_22,Año_23,Año_24,Año_25,Año_26
403216491.46210355,772911163.5525509,1244857393.8563573,1158153277.9479349,980351151.4394498
504580670.80250335,495198720.84461284,798962048.651841,1072589325.715007,916109808.9736332
2323849068.554899,1642497426.2345927,1725633691.2622926,2799095471.217435,2312025635.610462
174244508.44820732,91093967.76892975,109542863.23685321,146553097.65029263,162942071.8681037
1709795957.4107504,1311014289.550489,1374924462.168517,1640542436.380564,1701596526.9928339
2117250147.0064766,1905888065.3786259,2125908969.7783198,2594339019.8035183,2821830163.742343
3285065663.3014836,3480069064.493747,3565073759.3679414,3269963749.5514045,3147679794.7191124
25410230177.672653,15920095742.70404,26772692713.507256,34315656254.69738,37493802297.90178
1306887341.2616363,871800849.0142455,1123916266.0593514,1512233761.3662295,1792894000.2238274
307370153.643806,221829037.06178367,294471977.6003137,426943300.8007455,445004603.68915653
11506631200.839384,8723650571.73457,8769176263.380186,11812399640.082747,13055962655.422546
614261984.2422783,229591244.81201503,434065377.1657777,388932586.93546426,559731171.1883544
52153955.6306177,51831923.56937787,129400345.14371124,256652016.38798082,242354592.5115885
2994567041.2825108,1973192552.2101812,2830392159.894405,3304949696.0746126,3313680594.075203
482271078.9552494,430908782.10727954,409621450.6644448,449882223.4564824,422422836.84125084
5901195699.245085,5872573386.167466,5074221882.617162,5009564519.784087,4371072714.860689
3216184456.2748218,2310301502.2687244,2358546188.042076,2476466798.8376265,2570453976.3231945
857395176.6013666,696379825.3159459,544696860.1562569,806517367.4110965,756397966.7155048
1087387555.5185637,821845194.7923474,1109632416.387762,1176231617.1220827,1107460047.5445263
3420562441.2150135,1622760659.8913116,2388042718.687209,4223478098.025623,5978570767.006701
323019392.88688207,260905264.2749983,336806780.29110485,481740688.6346619,400930122.58507425
8850891.668464271,117768480.27978063,-25491977.621140324,43107754.510158315,125472962.93384244
998148638.577292,825727800.6980885,898745966.5606576,815337826.7660182,950074735.4026113
4202877606.3713465,3420845879.974775,4257473604.8572354,5237729913.484848,4841643836.442934
3931674651.4008913,2517610028.904174,3062851312.598896,3953825194.886214,4427796766.151476
4599791214.20183,4482170573.146833,5296455774.4927025,5319722949.881669,4813541091.985758
3530791247.6420436,2332622590.7613564,3554430761.174682,3971125047.6389036,4586595377.455634
1066655559.4877748,651105356.2471137,1250481065.2021124,923520456.1827261,893497963.089464
1219902028.8512921,1390944847.6159658,-148494864.75359726,1217014340.3439965,1988969683.34862
3925512225.149456,2855968003.535958,3180784032.9224396,2104683239.4335039,2745115579.316938
1012665613.7147043,560365882.6309264,286931857.7291546,201272544.68504298,684663692.094034
47455736.889655665,59627652.53203869,84537884.02790727,80424290.52143152,53505685.36077923
56699554.361681834,40318567.430825785,51272727.69292514,58728257.56691814,70446421.81888685
181097868.51861963,149462530.67198578,150489361.24386993,220035941.64061692,266916614.8182102
549024121.9958841,459953831.25498307,444895513.01581275,469524689.8533996,416814863.7779166
612770465.6136541,554128639.7248925,1205429091.0467901,1119024003.9008021,728183974.0582318
178775074.40928355,256198603.78840512,178749663.28929603,361362168.7261368,153698610.6696344
2246583848.865985,2267339793.48723,2453013697.2483287,2684482865.5822277,3060053204.308688
2023459062.829455,949676526.6179723,1353339135.8052063,2267485704.587797,1621742765.3776867
892927.4053075977,52913.91036671144,551508.3621259165,-275686.7876982825,584706.0736374032
645373029.7284749,321098870.10116136,1187030233.000512,1049086478.9652804,1217890746.5216925
862658750.0438794,890213003.2449474,835401286.1154991,876835150.4766771,1077140048.5747097
